person,follower
11701608-barbara,138307964-lilibet-bombshell
11701608-barbara,142870527-kate-the-book-addict
11701608-barbara,33831018-paul-ataua
11701608-barbara,3789615-alan-teder
11701608-barbara,3917964-jennyreadit
11701608-barbara,4125660-liz
11701608-barbara,47571190-beata
11701608-barbara,586425-phyllis
11701608-barbara,6101894-daniela-weber
11701608-barbara,7020601-mona
11701608-barbara,83189392-jonann-loves-book-talk
11701608-barbara,929238-hbalikov
118991992-willow-anne,120785415-jovana-novelonmymind
120785415-jovana-novelonmymind,72101578-anna-jo
120785415-jovana-novelonmymind,83189392-jonann-loves-book-talk
120806268-booksandzoe,101415359-diana
120806268-booksandzoe,120051742-sadie
120806268-booksandzoe,124012990-victoria
120806268-booksandzoe,138307964-lilibet-bombshell
120806268-booksandzoe,145126452-jonah
120806268-booksandzoe,42002498-margherita
120806268-booksandzoe,69171917-julei
120806268-booksandzoe,72101578-anna-jo
12112245-laura-lauralovestoread,36607705-aaron-slightly-apropos
12112245-laura-lauralovestoread,82987855-moonkiszt
12112245-laura-lauralovestoread,83863174-literary-redhead
121214029-grapie-deltaco,10014483-ely
121214029-grapie-deltaco,132898264-hannah---the-booksirens-babe
121214029-grapie-deltaco,92155412-kaz-brekkers-future-wife
124012990-victoria,138307964-lilibet-bombshell
124012990-victoria,1849990-carole
124132123-lisa-of-troy,107842999-kate-o-shea
124132123-lisa-of-troy,113253778-plainzt
124132123-lisa-of-troy,12308510-winter
124132123-lisa-of-troy,138307964-lilibet-bombshell
124132123-lisa-of-troy,142870527-kate-the-book-addict
124132123-lisa-of-troy,26614078-lindsay-ann
124132123-lisa-of-troy,26629948-melissa-p
124132123-lisa-of-troy,28397995-nancy
124132123-lisa-of-troy,3389591-queenamidala28
124132123-lisa-of-troy,4521155-ozana
124132123-lisa-of-troy,52545435-elle-ellexamines
124132123-lisa-of-troy,53701594-nilufer-ozmekik
124132123-lisa-of-troy,5413269-ankita-goswami
124132123-lisa-of-troy,6101894-daniela-weber
124132123-lisa-of-troy,7099925-joanne
124132123-lisa-of-troy,73974215-marie
124132123-lisa-of-troy,83189392-jonann-loves-book-talk
124132123-lisa-of-troy,92155412-kaz-brekkers-future-wife
124132123-lisa-of-troy,929238-hbalikov
124132123-lisa-of-troy,94398090-kim-lockhart
124132123-lisa-of-troy,962795-andrea
124132123-lisa-of-troy,96359502-alex-curtis
12490048-mediaman,1947301-ericka-clou
126977719-ash,107842999-kate-o-shea
126977719-ash,138307964-lilibet-bombshell
126977719-ash,143015784-steph-booksirens-r-us
126977719-ash,21636308-crystal-fl-girl
126977719-ash,36270280-diana-n
126977719-ash,59769075-jl
126977719-ash,72101578-anna-jo
126977719-ash,95458044-mrs-persehale-warner
127113613-library-of-a-viking,125792689-chloe-frizzle
127113613-library-of-a-viking,131996358-matt-s-fantasy-book-reviews
127113613-library-of-a-viking,135331352-constant-reader
127113613-library-of-a-viking,14321329-christina-pilkington
127113613-library-of-a-viking,17956579-natalie-all-books-great-and-small
127113613-library-of-a-viking,6524541-geo
127113613-library-of-a-viking,91997499-cassidy-chivers
128191325-bhavya,108530035-trippybooks
128191325-bhavya,120785415-jovana-novelonmymind
128191325-bhavya,126606109-jagodasbooks
128191325-bhavya,23587055-ashley
128191325-bhavya,53067896-amina
128191325-bhavya,59769075-jl
1291915-lauren,17340505-pickle
1291915-lauren,23954351-rod-brown
1291915-lauren,3389591-queenamidala28
1291915-lauren,39459836-bruce-katz
1291915-lauren,7099925-joanne
1291915-lauren,78485297-mario-the-lone-bookwolf
1291915-lauren,7862560-la-cantrell
1291915-lauren,8760701-jrendocrine
12942059-tonya,102631267-rachel-maxwell
12942059-tonya,59769075-jl
12942059-tonya,96359502-alex-curtis
13142847-cook-memorial-public-library,13385989-lisa
131996358-matt-s-fantasy-book-reviews,11823827-chiara
131996358-matt-s-fantasy-book-reviews,12308510-winter
131996358-matt-s-fantasy-book-reviews,135331352-constant-reader
131996358-matt-s-fantasy-book-reviews,138307964-lilibet-bombshell
131996358-matt-s-fantasy-book-reviews,155025888-trust-mira
131996358-matt-s-fantasy-book-reviews,17956579-natalie-all-books-great-and-small
131996358-matt-s-fantasy-book-reviews,26614078-lindsay-ann
131996358-matt-s-fantasy-book-reviews,4884171-dakota-morgan
131996358-matt-s-fantasy-book-reviews,929238-hbalikov
131996358-matt-s-fantasy-book-reviews,96359502-alex-curtis
13238913-booknightowl,102631267-rachel-maxwell
13238913-booknightowl,17956579-natalie-all-books-great-and-small
132704833-lisa---booksirens-arc-queen,1049154-liv
132704833-lisa---booksirens-arc-queen,1072582-kaethe
132704833-lisa---booksirens-arc-queen,54396048-maren-s-reads
132898264-hannah---the-booksirens-babe,1919931-kellee-moye
132898264-hannah---the-booksirens-babe,5148104-celeste
13304810-peter-baran,17340505-pickle
13304810-peter-baran,17956579-natalie-all-books-great-and-small
134258327-madita,101415359-diana
134258327-madita,139941218-isabella
134258327-madita,20768840-melinda
134258327-madita,21636308-crystal-fl-girl
134258327-madita,92155412-kaz-brekkers-future-wife
1343864-ashley,10714545-janine-ballard
1343864-ashley,126606109-jagodasbooks
1343864-ashley,151687272-emthebookishgirl
1343864-ashley,19586916-walford
1343864-ashley,3481302-eon-windrunner
1343864-ashley,54640444-shelby-allthebooksalltheways
1343864-ashley,72101578-anna-jo
1343864-ashley,92155412-kaz-brekkers-future-wife
13699205-ellias-elliasreads,100218389-jan-agaton
13699205-ellias-elliasreads,100965562-mila
13699205-ellias-elliasreads,10650107-jenny
13699205-ellias-elliasreads,108114937-yeganeh
13699205-ellias-elliasreads,108530035-trippybooks
13699205-ellias-elliasreads,10861844-hyzie
13699205-ellias-elliasreads,10964175-megan
13699205-ellias-elliasreads,117845871-bookish-brown-girl
13699205-ellias-elliasreads,118296868-ahmed
13699205-ellias-elliasreads,124586352-haadiya
13699205-ellias-elliasreads,125792689-chloe-frizzle
13699205-ellias-elliasreads,13171647-anim-e
13699205-ellias-elliasreads,138307964-lilibet-bombshell
13699205-ellias-elliasreads,14321329-christina-pilkington
13699205-ellias-elliasreads,18999155-hilly
13699205-ellias-elliasreads,19500793-sheena-book-sheenanigans
13699205-ellias-elliasreads,25258261-katie-colson
13699205-ellias-elliasreads,26529092-debyi-kucera-book-bujo
13699205-ellias-elliasreads,42002498-margherita
13699205-ellias-elliasreads,47207032-chelsea-humphrey
13699205-ellias-elliasreads,50004503-dessertcomes1st
13699205-ellias-elliasreads,5074921-ady
13699205-ellias-elliasreads,5148104-celeste
13699205-ellias-elliasreads,5179900-natalie
13699205-ellias-elliasreads,53120469-hellerzilla
13699205-ellias-elliasreads,5413269-ankita-goswami
13699205-ellias-elliasreads,54564996-robyn
13699205-ellias-elliasreads,59769075-jl
13699205-ellias-elliasreads,6101894-daniela-weber
13699205-ellias-elliasreads,67917979-maria-trying-to-write-my-book-park
13699205-ellias-elliasreads,70514160-cyanide-latte
13699205-ellias-elliasreads,721595-melissa-hiatus-for-work-will-pop-in-when-i-can
13699205-ellias-elliasreads,74226493-brianna
13699205-ellias-elliasreads,77346576-l-a
13699205-ellias-elliasreads,78485297-mario-the-lone-bookwolf
13699205-ellias-elliasreads,84702311-reads-with-rachel
13699205-ellias-elliasreads,91838948-taylor
137657144-haley-pham,109273096-aira-mae
137657144-haley-pham,125792689-chloe-frizzle
137657144-haley-pham,127664963-cecily-g
137657144-haley-pham,139941218-isabella
137657144-haley-pham,21636308-crystal-fl-girl
137657144-haley-pham,38956493-kimberly
137657144-haley-pham,44487975-dannii-elle
137657144-haley-pham,5074921-ady
137657144-haley-pham,54396048-maren-s-reads
137657144-haley-pham,92155412-kaz-brekkers-future-wife
1376766-becky,1072582-kaethe
1376766-becky,14551209-dan-connors
1376766-becky,17340505-pickle
1376766-becky,3481302-eon-windrunner
1376766-becky,3498889-cheryl
1376766-becky,3917964-jennyreadit
1376766-becky,3947172-vivian
1376766-becky,58774673-jon-nakapalau
1376766-becky,59769075-jl
1376766-becky,82987855-moonkiszt
1376766-becky,83189392-jonann-loves-book-talk
1376766-becky,83863174-literary-redhead
1381728-maxwell,107842999-kate-o-shea
1381728-maxwell,10964175-megan
1381728-maxwell,113253778-plainzt
1381728-maxwell,124012990-victoria
1381728-maxwell,13171647-anim-e
1381728-maxwell,138307964-lilibet-bombshell
1381728-maxwell,16219087-chelsea-chelseadolling-reads
1381728-maxwell,17340505-pickle
1381728-maxwell,17825291-katie-ziegler-life-between-words
1381728-maxwell,188447-jessica-j
1381728-maxwell,21690081-dana-ilie
1381728-maxwell,5033960-hulttio
1381728-maxwell,586425-phyllis
1381728-maxwell,5875398-rebecca
1381728-maxwell,58774673-jon-nakapalau
1381728-maxwell,59161878-laura-rogers
1381728-maxwell,6515737-sarah-marie
1381728-maxwell,6888651-jenn-adams
1381728-maxwell,7099925-joanne
1381728-maxwell,721595-melissa-hiatus-for-work-will-pop-in-when-i-can
1381728-maxwell,7416346-gerhard
1381728-maxwell,78452741-julie-juju
1381728-maxwell,7862560-la-cantrell
1381728-maxwell,83189392-jonann-loves-book-talk
1381728-maxwell,83863174-literary-redhead
1381728-maxwell,962795-andrea
138307964-lilibet-bombshell,124012990-victoria
138307964-lilibet-bombshell,69171917-julei
138307964-lilibet-bombshell,7099925-joanne
1384944-ron-charles,1291915-lauren
1384944-ron-charles,135946417-sofi
1384944-ron-charles,1947301-ericka-clou
1384944-ron-charles,245301-carly-thompson
1384944-ron-charles,3498889-cheryl
1384944-ron-charles,4685500-angela-m
1384944-ron-charles,5074921-ady
1384944-ron-charles,5229326-emma-deplores-goodreads-censorship
1384944-ron-charles,586425-phyllis
1384944-ron-charles,7020601-mona
1384944-ron-charles,70492479-mara
1384944-ron-charles,7099925-joanne
1384944-ron-charles,7416346-gerhard
1384944-ron-charles,78452741-julie-juju
1384944-ron-charles,7862560-la-cantrell
1384944-ron-charles,83863174-literary-redhead
1384944-ron-charles,962795-andrea
1384944-ron-charles,96359502-alex-curtis
1389748-skip,3917964-jennyreadit
1389748-skip,83189392-jonann-loves-book-talk
1389748-skip,88659389-wonda
14105531-robin-bridge-four,10861844-hyzie
14105531-robin-bridge-four,1343864-ashley
14105531-robin-bridge-four,136271-maria
14105531-robin-bridge-four,25353295-carmen
14105531-robin-bridge-four,7020601-mona
14105531-robin-bridge-four,83189392-jonann-loves-book-talk
14105531-robin-bridge-four,83863174-literary-redhead
142870527-kate-the-book-addict,12308510-winter
142870527-kate-the-book-addict,29919991-catherine-alternativelytitledbooks--still-very-behind
142870527-kate-the-book-addict,38956493-kimberly
142870527-kate-the-book-addict,67917979-maria-trying-to-write-my-book-park
142870527-kate-the-book-addict,7099925-joanne
143015298-tara-the-booksirens-weekend-reader,2858235-alexandra
14321329-christina-pilkington,78452741-julie-juju
14514998-rachel-reads-ravenously,10689778-patricia
14514998-rachel-reads-ravenously,10861844-hyzie
14514998-rachel-reads-ravenously,132704833-lisa---booksirens-arc-queen
14514998-rachel-reads-ravenously,132898264-hannah---the-booksirens-babe
14514998-rachel-reads-ravenously,138307964-lilibet-bombshell
14514998-rachel-reads-ravenously,19500793-sheena-book-sheenanigans
14514998-rachel-reads-ravenously,26629948-melissa-p
14514998-rachel-reads-ravenously,3917964-jennyreadit
14514998-rachel-reads-ravenously,4680796-jeni-enjaian
14514998-rachel-reads-ravenously,50004503-dessertcomes1st
14514998-rachel-reads-ravenously,595538-heidi-minxyd14
14514998-rachel-reads-ravenously,6515737-sarah-marie
14514998-rachel-reads-ravenously,69171917-julei
14514998-rachel-reads-ravenously,72101578-anna-jo
14514998-rachel-reads-ravenously,78452741-julie-juju
14514998-rachel-reads-ravenously,83863174-literary-redhead
14514998-rachel-reads-ravenously,9795093-erin
14949982-jenn-the-book-refuge,135331352-constant-reader
14949982-jenn-the-book-refuge,138307964-lilibet-bombshell
14949982-jenn-the-book-refuge,143015298-tara-the-booksirens-weekend-reader
14949982-jenn-the-book-refuge,19500793-sheena-book-sheenanigans
14949982-jenn-the-book-refuge,26629948-melissa-p
14949982-jenn-the-book-refuge,50004503-dessertcomes1st
14949982-jenn-the-book-refuge,9333847-boo
14969888-candida,33831018-paul-ataua
14969888-candida,83189392-jonann-loves-book-talk
15335689-destiny-howling-libraries,100965562-mila
15335689-destiny-howling-libraries,108114937-yeganeh
15335689-destiny-howling-libraries,116959721-jenny
15335689-destiny-howling-libraries,128191325-bhavya
15335689-destiny-howling-libraries,12942059-tonya
15335689-destiny-howling-libraries,1343864-ashley
15335689-destiny-howling-libraries,135331352-constant-reader
15335689-destiny-howling-libraries,138307964-lilibet-bombshell
15335689-destiny-howling-libraries,17956579-natalie-all-books-great-and-small
15335689-destiny-howling-libraries,26614078-lindsay-ann
15335689-destiny-howling-libraries,26629948-melissa-p
15335689-destiny-howling-libraries,4884171-dakota-morgan
15335689-destiny-howling-libraries,51454698-rigel
15335689-destiny-howling-libraries,53701594-nilufer-ozmekik
15335689-destiny-howling-libraries,54640444-shelby-allthebooksalltheways
15335689-destiny-howling-libraries,58774673-jon-nakapalau
15335689-destiny-howling-libraries,6524541-geo
15335689-destiny-howling-libraries,69171917-julei
15335689-destiny-howling-libraries,70514160-cyanide-latte
15335689-destiny-howling-libraries,78452741-julie-juju
15335689-destiny-howling-libraries,8101737-peter-tillman
15335689-destiny-howling-libraries,82987855-moonkiszt
15335689-destiny-howling-libraries,83189392-jonann-loves-book-talk
15335689-destiny-howling-libraries,83863174-literary-redhead
15335689-destiny-howling-libraries,9333847-boo
15335689-destiny-howling-libraries,94398090-kim-lockhart
15335689-destiny-howling-libraries,96215743
15335689-destiny-howling-libraries,966359-danielle-hammelef
15493045-lisa,143015784-steph-booksirens-r-us
15493045-lisa,53067896-amina
15493045-lisa,6101894-daniela-weber
15493045-lisa,63436123-booklover
155125094-morsal-bts-version,59769075-jl
1570150-kristen-m,106613927-jill-e-bean
1570150-kristen-m,72101578-anna-jo
15751114-jim,3389591-queenamidala28
15751114-jim,34915127-raegan
15751114-jim,597461-elyse-walters
15751114-jim,69171917-julei
15751114-jim,7020601-mona
15751114-jim,72101578-anna-jo
15751114-jim,8101737-peter-tillman
15819476-isabella,100965562-mila
15819476-isabella,109273096-aira-mae
