xxx,xxx
118,0.001140128210644065
119,0.00012907111818612056
120,2.1511853031020093e-05
121,8.604741212408037e-05
122,0.00010755926515510046
123,0.00019360667727918082
124,0.00017209482424816074
125,2.1511853031020093e-05
126,8.604741212408037e-05
127,2.1511853031020093e-05
128,0.001204663769737125
129,0.00030116594243428127
130,4.3023706062040185e-05
131,0.0005808200318375425
132,0.00021511853031020093
133,0.00010755926515510046
134,0.00017209482424816074
135,4.3023706062040185e-05
136,2.1511853031020093e-05
137,0.0013552467409542659
138,6.453555909306028e-05
139,0.0004947726197134621
140,0.00017209482424816074
141,2.1511853031020093e-05
142,0.00019360667727918082
143,0.0026674697758464912
144,4.3023706062040185e-05
145,4.3023706062040185e-05
146,2.1511853031020093e-05
147,4.3023706062040185e-05
148,8.604741212408037e-05
149,4.3023706062040185e-05
150,2.1511853031020093e-05
151,0.001140128210644065
152,0.00045174891365142196
153,0.0003441896484963215
154,8.604741212408037e-05
155,0.001914554919760788
156,2.1511853031020093e-05
157,6.453555909306028e-05
158,4.3023706062040185e-05
159,6.453555909306028e-05
160,6.453555909306028e-05
161,6.453555909306028e-05
162,0.00038721335455836164
163,2.1511853031020093e-05
164,0.0005593081788065224
165,2.1511853031020093e-05
166,4.3023706062040185e-05
167,0.00019360667727918082
168,0.00021511853031020093
169,4.3023706062040185e-05
170,0.0007529148560857032
171,0.00045174891365142196
172,4.3023706062040185e-05
173,0.00012907111818612056
174,8.604741212408037e-05
175,0.00015058297121714064
176,2.1511853031020093e-05
177,0.00010755926515510046
178,2.1511853031020093e-05
179,2.1511853031020093e-05
180,2.1511853031020093e-05
181,4.3023706062040185e-05
182,8.604741212408037e-05
183,2.1511853031020093e-05
184,8.604741212408037e-05
185,0.000236630383341221
186,4.3023706062040185e-05
187,0.0017424600955126275
188,8.604741212408037e-05
189,6.453555909306028e-05
190,6.453555909306028e-05
191,0.00012907111818612056
192,0.00019360667727918082
193,4.3023706062040185e-05
194,0.0017854838015746676
195,0.00019360667727918082
196,0.002581422363722411
197,0.00015058297121714064
198,8.604741212408037e-05
199,0.00019360667727918082
200,4.3023706062040185e-05
201,2.1511853031020093e-05
202,0.00012907111818612056
203,2.1511853031020093e-05
204,0.00012907111818612056
205,2.1511853031020093e-05
206,4.3023706062040185e-05
207,0.00021511853031020093
208,0.00019360667727918082
209,0.002796540894032612
210,0.00010755926515510046
211,6.453555909306028e-05
212,6.453555909306028e-05
213,0.000236630383341221
214,0.0009680333863959042
215,6.453555909306028e-05
216,0.00030116594243428127
217,4.3023706062040185e-05
218,0.00019360667727918082
219,4.3023706062040185e-05
220,0.00010755926515510046
221,4.3023706062040185e-05
222,2.1511853031020093e-05
223,0.0006668674439616228
224,0.000236630383341221
225,0.000236630383341221
226,0.0002796540894032612
227,2.1511853031020093e-05
228,4.3023706062040185e-05
229,0.0002796540894032612
230,8.604741212408037e-05
231,4.3023706062040185e-05
232,0.0003441896484963215
233,0.00019360667727918082
234,0.00045174891365142196
235,2.1511853031020093e-05
236,4.3023706062040185e-05
237,0.0007959385621477434
238,4.3023706062040185e-05
239,2.1511853031020093e-05
240,2.1511853031020093e-05
241,2.1511853031020093e-05
242,2.1511853031020093e-05
243,6.453555909306028e-05
244,8.604741212408037e-05
245,8.604741212408037e-05
246,0.0005377963257755023
247,4.3023706062040185e-05
248,6.453555909306028e-05
249,4.3023706062040185e-05
250,8.604741212408037e-05
251,4.3023706062040185e-05
252,6.453555909306028e-05
253,8.604741212408037e-05
254,6.453555909306028e-05
255,0.0008389622682097835
256,8.604741212408037e-05
257,0.001161640063675085
258,4.3023706062040185e-05
259,0.0005162844727444822
260,0.0008174504151787635
261,8.604741212408037e-05
262,4.3023706062040185e-05
263,6.453555909306028e-05
264,0.00012907111818612056
265,2.1511853031020093e-05
266,2.1511853031020093e-05
267,0.00017209482424816074
268,4.3023706062040185e-05
269,0.00015058297121714064
270,2.1511853031020093e-05
271,8.604741212408037e-05
272,2.1511853031020093e-05
273,4.3023706062040185e-05
274,0.00021511853031020093
275,4.3023706062040185e-05
276,2.1511853031020093e-05
277,2.1511853031020093e-05
278,2.1511853031020093e-05
279,0.00015058297121714064
280,2.1511853031020093e-05
281,0.00012907111818612056
282,2.1511853031020093e-05
283,4.3023706062040185e-05
284,0.00019360667727918082
285,2.1511853031020093e-05
286,2.1511853031020093e-05
287,0.00015058297121714064
288,0.00012907111818612056
289,0.00012907111818612056
290,0.0003226777954653014
291,2.1511853031020093e-05
292,4.3023706062040185e-05
293,0.000473260766682442
294,0.0003226777954653014
295,0.00043023706062040185
296,0.0005593081788065224
297,0.0003441896484963215
298,4.3023706062040185e-05
299,4.3023706062040185e-05
