# 节点数  边数   ,108363  293298
37690,11053
10669,234
10669,9036
17261,10618
17261,12010
17261,104646
17261,51746
17261,10444
5361,97517
26015,28335
26015,25466
26015,34867
26015,38542
26015,12341
24009,32704
24009,23136
24009,81818
24009,84623
24009,49404
24009,16734
24009,84135
24009,28342
24009,52208
25867,44738
25867,24080
25867,42780
25867,10899
25867,23639
25867,9938
25867,5974
25867,76939
25867,75991
74800,14650
43395,3011
18445,478
99078,95873
27775,10458
27775,100129
27775,23896
103879,12640
79466,67928
47675,11273
47675,107906
47675,33527
13347,57099
91657,85920
91657,45350
88542,75915
88542,95301
88542,92322
79222,8317
102500,28316
102500,22041
92774,35401
92774,96002
92774,85980
92774,34719
48408,30321
48408,12580
94479,39018
19861,7673
19861,478
19861,57272
19861,12606
19861,63563
19861,65509
30220,78972
30220,2838
30220,75838
30220,51165
29030,1333
78988,76588
78988,76256
78988,93691
34610,51540
34610,72482
34610,75375
34610,51774
34610,38473
34610,90202
34610,14976
34610,91703
34610,76453
34610,91538
34610,68274
34610,84335
34610,90791
34610,38042
34610,63593
34610,45934
34610,76240
34610,93369
34610,58931
34610,50912
34610,52237
34610,64970
34610,55541
34610,46558
34610,91639
34610,92068
34610,31941
34610,84803
34610,16704
34610,84628
34610,52627
34610,45803
34610,26488
34610,75371
34610,82450
34610,106946
34610,23830
34610,35351
34610,31855
34610,25099
34610,91395
34610,68517
34610,53765
34610,76363
34610,12242
34610,95454
34610,52774
34610,3576
34610,107863
34610,52285
34610,52880
34610,85987
34610,51210
34610,34995
34610,34597
34610,34928
34610,49968
34610,38188
34610,98048
34610,15401
34610,78315
34610,107930
34610,35716
34610,84362
34610,78727
34610,42734
34610,24938
34610,25027
34610,12733
34610,41894
34610,82470
34610,105145
34610,37764
34610,92287
34610,79843
34610,34402
34610,75714
34610,17362
34610,12167
34610,44628
34610,79236
34610,86253
34610,99356
34610,30692
34610,1775
34610,99623
34610,89270
34610,89809
34610,77381
34610,45799
34610,1501
34610,81964
34610,9911
34610,33188
34610,52609
34610,98478
34610,50583
34610,30935
34610,42466
34610,107881
34610,82171
34610,87780
34610,3329
34610,80838
34610,82235
34610,51752
34610,16937
34610,86262
34610,100647
34610,96971
34610,96686
34610,4726
34610,81463
34610,98003
34610,12009
34610,68570
34610,52390
34610,38332
34610,13058
34610,30133
34610,77293
34610,98994
34610,63506
34610,42000
34610,48937
34610,50409
34610,97147
34610,77646
34610,81393
34610,82086
34610,53415
34610,78322
34610,54348
34610,85483
34610,86186
34610,85316
34610,47189
34610,24835
34610,75514
34610,8192
34610,9536
34610,53113
34610,25679
34610,25413
34610,29358
34610,71888
34610,6944
34610,91718
34610,47882
34610,100653
34610,53587
34610,70035
34610,24202
34610,97905
34610,8087
34610,53514
34610,806
34610,75559
34610,49964
34610,89716
34610,91938
34610,77879
34610,68470
34610,27212
34610,38321
34610,50967
34610,43985
34610,3033
34610,72485
34610,94629
34610,22991
34610,35463
34610,86200
34610,45122
34610,64054
34610,81968
34610,68459
34610,51062
34610,49332
34610,233
34610,52087
34610,83037
34610,10789
34610,77658
34610,55768
34610,52484
34610,10664
34610,54158
34610,93331
34610,47480
34610,77063
34610,38722
34610,11891
34610,36904
34610,42084
34610,75989
34610,34964
34610,1361
34610,63280
34610,76391
34610,21228
34610,98928
34610,44360
34610,2715
34610,44620
34610,55462
34610,96092
34610,50468
34610,90671
34610,89970
34610,86471
34610,82634
34610,55481
34610,25005
34610,101856
34610,5341
34610,99211
34610,53988
34610,27394
34610,12228
34610,97765
34610,30946
34610,25731
34610,50831
34610,24696
34610,106042
34610,4228
34610,38483
34610,36952
34610,16677
34610,92132
34610,92607
34610,67590
34610,83072
34610,88066
34610,58419
34610,25969
34610,81319
34610,16687
34610,33102
34610,75669
34610,92114
34610,90502
34610,56418
34610,89318
34610,87297
34610,95593
34610,28627
34610,5203
34610,80986
34610,29504
34610,55555
34610,15302
34610,7008
34610,41286
34610,23709
34610,76121
34610,1662
34610,86182
34610,47554
34610,52562
34610,57672
34610,104110
34610,75454
34610,69018
34610,41105
34610,48714
34610,16743
34610,493
34610,96103
34610,3268
34610,76728
34610,72321
34610,36470
34610,54797
34610,76772
34610,52694
34610,32403
34610,46390
34610,25000
34610,93355
34610,49712
34610,30175
34610,37777
34610,20558
34610,48581
34610,91393
34610,28954
34610,5984
34610,26338
34610,105413
34610,71145
34610,40637
34610,52674
34610,89951
34610,11387
34610,32001
34610,3847
34610,16735
34610,55586
34610,45512
34610,105301
34610,18334
34610,12747
34610,6697
34610,82477
34610,24822
34610,56206
34610,52184
34610,81569
34610,77117
34610,86025
34610,91893
34610,73494
34610,76662
34610,88238
34610,91513
34610,34881
34610,48824
34610,45195
34610,55582
34610,30059
34610,24903
34610,35455
34610,105296
34610,106060
34610,11880
34610,52411
34610,10371
34610,42759
34610,85265
34610,46947
34610,33059
34610,26319
34610,76155
34610,79094
34610,52967
34610,35179
34610,88953
34610,34714
34610,60853
34610,64938
34610,22492
34610,105530
34610,676
34610,35226
34610,92290
34610,79735
34610,88007
34610,101144
34610,33608
34610,89487
34610,52310
